name,action probability,planned,used planner,used plan lib,time planning,time checking plan lib,total time,plan lib size
problem_office_15.pddl,0.7,41,31,10,44.38981246948242,0.16814875602722168,44.55796122550965,32
problem_office_15.pddl,0.7,47,33,14,125.01708459854126,0.3959379196166992,125.41302251815796,65
problem_office_15.pddl,0.7,32,25,7,66.38959360122679,0.4355616569519043,66.82515525817871,90
problem_office_15.pddl,0.7,52,34,18,61.94833278656006,0.9048581123352052,62.85319089889526,124
problem_office_15.pddl,0.7,49,28,21,49.63940119743347,1.0611064434051514,50.700507640838616,152
problem_office_15.pddl,0.7,53,34,19,114.57362914085388,1.3612959384918213,115.9349250793457,186
problem_office_15.pddl,0.7,40,27,13,62.99286961555481,1.039806604385376,64.03267621994019,213
problem_office_15.pddl,0.7,36,15,21,43.147785663604736,0.8697583675384521,44.01754403114319,228
problem_office_15.pddl,0.7,49,33,16,27.326696395874023,1.8984074592590328,29.225103855133057,261
problem_office_15.pddl,0.7,50,31,19,50.44348120689392,2.0642402172088623,52.50772142410278,292
problem_office_15.pddl,0.7,37,21,16,19.796743392944336,1.5708043575286863,21.367547750473022,313
problem_office_15.pddl,0.7,45,30,15,73.60333704948425,1.9688019752502441,75.5721390247345,343
problem_office_15.pddl,0.7,35,25,10,52.009901762008674,1.7097861766815186,53.71968793869018,368
problem_office_15.pddl,0.7,38,22,16,65.92738127708435,1.7275919914245603,67.6549732685089,390
problem_office_15.pddl,0.7,32,13,19,13.382417917251587,1.5665748119354248,14.948992729187012,403
problem_office_15.pddl,0.7,47,28,19,68.51086378097534,2.4549920558929443,70.9658558368683,431
problem_office_15.pddl,0.7,53,36,17,108.09562134742737,3.1238691806793213,111.21949052810669,467
problem_office_15.pddl,0.6,58,40,18,55.00893783569336,0.2511692047119141,55.26010704040527,41
problem_office_15.pddl,0.6,52,31,21,45.31722354888916,0.4857745170593262,45.80299806594849,72
problem_office_15.pddl,0.6,53,40,13,76.45906352996826,0.7736442089080809,77.23270773887634,112
problem_office_15.pddl,0.6,43,23,20,44.75204634666443,0.5878331661224365,45.339879512786865,135
problem_office_15.pddl,0.6,39,27,12,62.61162233352661,0.7656893730163574,63.37731170654297,162
problem_office_15.pddl,0.6,78,42,36,84.80268573760986,2.042182922363281,86.84486865997314,204
problem_office_15.pddl,0.6,59,31,28,33.12042808532715,1.7964613437652588,34.916889429092414,235
problem_office_15.pddl,0.6,52,27,25,20.55100727081299,1.5958728790283203,22.14688014984131,262
problem_office_15.pddl,0.6,78,49,29,61.72817945480347,3.2583670616149902,64.98654651641846,311
