name,action probability,planned,used planner,used plan lib,time planning,time checking plan lib,total time,plan lib size
problem_office_12.pddl,0.7,32,27,5,43.07074522972107,0.11965131759643555,43.190396547317505,28
problem_office_12.pddl,0.7,39,28,11,69.51516056060791,0.32685494422912603,69.84201550483704,56
problem_office_12.pddl,0.7,42,29,13,47.913791179656975,0.5069215297698975,48.42071270942688,85
problem_office_12.pddl,0.7,30,21,9,18.834319591522213,0.4612429141998291,19.295562505722046,106
problem_office_12.pddl,0.7,28,21,7,21.963749408721924,0.560089111328125,22.52383852005005,127
problem_office_12.pddl,0.7,57,26,31,32.900581121444695,1.0827863216400146,33.98336744308472,153
problem_office_12.pddl,0.7,36,16,20,20.93293309211731,0.7835497856140137,21.716482877731323,169
problem_office_12.pddl,0.7,47,25,22,15.617746591567993,1.0585241317749023,16.676270723342896,194
problem_office_12.pddl,0.7,47,24,23,17.470550060272213,1.3160102367401123,18.78656029701233,218
problem_office_12.pddl,0.7,45,18,27,19.384273529052734,1.177842617034912,20.56211614608765,236
problem_office_12.pddl,0.7,37,22,15,13.688127517700195,1.173804759979248,14.861932277679445,258
problem_office_12.pddl,0.7,48,19,29,12.133279085159302,1.3878333568572998,13.521112442016602,277
problem_office_12.pddl,0.7,65,22,43,13.540374517440796,1.9088089466094968,15.449183464050293,299
problem_office_12.pddl,0.7,32,7,25,1.881110668182373,0.8481659889221191,2.729276657104492,306
problem_office_12.pddl,0.7,51,22,29,24.584372520446767,1.9139885902404783,26.498361110687256,328
problem_office_12.pddl,0.7,29,11,18,6.382934093475343,1.0824518203735352,7.465385913848878,339
problem_office_12.pddl,0.7,42,20,22,11.47379183769226,1.4891462326049805,12.962938070297241,359
problem_office_12.pddl,0.7,41,24,17,31.995107173919678,2.033555507659912,34.02866268157959,383
