name,action probability,planned,used planner,used plan lib,time planning,time checking plan lib,total time,plan lib size
problem_office_13.pddl,0.7,16,14,2,10.491161346435547,0.025495052337646484,10.516656398773193,15
problem_office_13.pddl,0.7,55,40,15,47.19031500816345,0.3963613510131836,47.58667635917664,55
problem_office_13.pddl,0.7,48,30,18,33.59102201461792,0.555474042892456,34.146496057510376,85
problem_office_13.pddl,0.7,21,17,4,10.830245733261108,0.3488764762878418,11.17912220954895,102
problem_office_13.pddl,0.7,49,30,19,23.60361695289612,0.9705231189727784,24.574140071868896,132
problem_office_13.pddl,0.7,25,18,7,14.357762575149536,0.4728367328643799,14.830599308013914,150
problem_office_13.pddl,0.7,31,14,17,8.521519184112549,0.5835750102996826,9.105094194412233,164
problem_office_13.pddl,0.7,25,16,9,8.988749027252197,0.571542501449585,9.560291528701784,180
problem_office_13.pddl,0.7,28,13,15,6.796388149261475,0.6548142433166504,7.451202392578125,193
problem_office_13.pddl,0.7,50,32,18,32.15766549110413,1.5044996738433838,33.66216516494751,225
problem_office_13.pddl,0.7,45,34,11,24.59721708297729,1.5314681529998782,26.128685235977173,259
problem_office_13.pddl,0.7,25,18,7,11.563372611999512,1.0080735683441162,12.571446180343628,277
problem_office_13.pddl,0.7,56,28,28,24.7337646484375,2.0864818096160893,26.82024645805359,305
problem_office_13.pddl,0.7,31,14,17,9.119186878204346,1.0471177101135254,10.166304588317873,319
problem_office_13.pddl,0.7,25,12,13,7.605885744094849,0.8310666084289551,8.436952352523804,331
problem_office_13.pddl,0.7,15,7,8,5.690032720565796,0.5840630531311035,6.2740957736968985,338
problem_office_13.pddl,0.7,29,9,20,1.947247743606568,1.1343588829040527,3.08160662651062,347
problem_office_13.pddl,0.7,38,23,15,19.160380840301517,1.7835190296173096,20.943899869918823,370
problem_office_13.pddl,0.7,34,24,10,16.351155519485474,1.7422747611999512,18.093430280685425,394
problem_office_13.pddl,0.7,38,24,14,13.604437828063965,2.331228256225586,15.93566608428955,418
problem_office_13.pddl,0.7,40,24,16,14.905135869979858,2.4638547897338867,17.368990659713745,442
problem_office_13.pddl,0.7,31,9,22,4.028737306594849,1.646752119064331,5.67548942565918,451
problem_office_13.pddl,0.7,46,16,30,7.653824806213379,2.373544216156006,10.027369022369383,467
problem_office_13.pddl,0.7,35,24,11,20.679495096206665,2.0543851852416988,22.733880281448364,491
problem_office_13.pddl,0.7,35,13,22,5.4308831691741934,2.0109996795654297,7.441882848739624,504
problem_office_13.pddl,0.7,27,14,13,6.206748962402344,1.6000807285308838,7.8068296909332275,518
problem_office_13.pddl,0.7,33,9,24,5.34601902961731,1.8248193264007568,7.170838356018066,527
problem_office_13.pddl,0.7,35,12,23,2.800903558731079,1.9622142314910889,4.763117790222168,539
problem_office_13.pddl,0.7,32,21,11,18.18578839302063,2.4713056087493896,20.65709400177002,560
problem_office_13.pddl,0.7,17,10,7,4.9907171726226816,1.3030169010162354,6.293734073638916,570
problem_office_13.pddl,0.7,63,29,34,19.407143115997314,4.255682706832886,23.6628258228302,599
