name,action probability,planned,used planner,used plan lib,time planning,time checking plan lib,total time,plan lib size
problem_office_04.pddl,0.7,19,14,5,16.707361459732056,0.034293174743652344,16.741654634475708,15
problem_office_04.pddl,0.7,39,28,11,26.16711568832397,0.2588434219360352,26.42595911026001,43
problem_office_04.pddl,0.7,14,9,5,6.651430606842041,0.11013627052307128,6.761566877365112,52
problem_office_04.pddl,0.7,27,12,15,10.715201139450071,0.249403715133667,10.96460485458374,64
problem_office_04.pddl,0.7,19,7,12,1.0394611358642578,0.20537924766540527,1.244840383529663,71
problem_office_04.pddl,0.7,26,7,19,1.0462729930877686,0.3153076171875,1.3615806102752686,78
problem_office_04.pddl,0.7,20,15,5,14.080862760543823,0.2671670913696289,14.348029851913452,93
problem_office_04.pddl,0.7,32,20,12,13.501528978347778,0.4885215759277344,13.990050554275513,113
problem_office_04.pddl,0.7,20,10,10,6.2381250858306885,0.2966041564941406,6.534729242324829,123
problem_office_04.pddl,0.7,18,6,12,1.7428290843963623,0.25398778915405273,1.996816873550415,129
problem_office_04.pddl,0.7,31,7,24,4.502297878265381,0.5261578559875488,5.02845573425293,136
problem_office_04.pddl,0.7,28,11,17,10.096363544464113,0.4636168479919434,10.559980392456056,147
problem_office_04.pddl,0.7,26,9,17,4.447726249694824,0.5215990543365479,4.969325304031372,156
problem_office_04.pddl,0.7,28,12,16,5.6604392528533936,0.5314929485321045,6.191932201385497,168
problem_office_04.pddl,0.7,21,12,9,6.426759719848633,0.4772024154663086,6.903962135314941,180
problem_office_04.pddl,0.7,14,3,11,0.4289202690124512,0.22377562522888186,0.652695894241333,183
problem_office_04.pddl,0.7,26,6,20,1.5943231582641602,0.5158541202545166,2.1101772785186768,189
problem_office_04.pddl,0.7,19,4,15,1.2964119911193848,0.3544459342956543,1.650857925415039,193
problem_office_04.pddl,0.7,27,10,17,1.3415367603302002,0.6511857509613037,1.992722511291504,203
