name,action probability,planned,used planner,used plan lib,time planning,time checking plan lib,total time,plan lib size
problem_office_13.pddl,0.7,23,23,0,16.211963891983032,0,16.211963891983032,0
problem_office_13.pddl,0.7,34,34,0,41.433535814285285,0,41.433535814285285,0
problem_office_13.pddl,0.7,22,22,0,21.956157207489014,0,21.956157207489014,0
problem_office_13.pddl,0.7,19,19,0,19.852967739105228,0,19.852967739105228,0
problem_office_13.pddl,0.7,38,38,0,32.681357383728034,0,32.681357383728034,0
problem_office_13.pddl,0.7,31,31,0,36.06711411476135,0,36.06711411476135,0
problem_office_13.pddl,0.7,44,44,0,52.36302185058594,0,52.36302185058594,0
problem_office_13.pddl,0.7,42,42,0,48.55407762527466,0,48.55407762527466,0
problem_office_13.pddl,0.7,35,35,0,39.741555213928216,0,39.741555213928216,0
problem_office_13.pddl,0.7,38,38,0,34.81640338897705,0,34.81640338897705,0
problem_office_13.pddl,0.7,46,46,0,61.33897137641907,0,61.33897137641907,0
problem_office_13.pddl,0.7,30,30,0,29.99513649940491,0,29.99513649940491,0
problem_office_13.pddl,0.7,27,27,0,18.68121886253357,0,18.68121886253357,0
problem_office_13.pddl,0.7,46,46,0,50.229146242141724,0,50.229146242141724,0
problem_office_13.pddl,0.7,63,63,0,72.14279127120972,0,72.14279127120972,0
problem_office_13.pddl,0.7,48,48,0,55.349780321121216,0,55.349780321121216,0
problem_office_13.pddl,0.7,40,40,0,29.12407636642456,0,29.12407636642456,0
problem_office_13.pddl,0.7,63,63,0,58.438428163528435,0,58.438428163528435,0
problem_office_13.pddl,0.7,35,35,0,54.73175597190857,0,54.73175597190857,0
problem_office_13.pddl,0.7,41,41,0,64.9862847328186,0,64.9862847328186,0
problem_office_13.pddl,0.7,45,45,0,40.51682305335999,0,40.51682305335999,0
problem_office_13.pddl,0.7,20,20,0,27.441429138183594,0,27.441429138183594,0
problem_office_13.pddl,0.7,36,36,0,39.143668413162224,0,39.143668413162224,0
problem_office_13.pddl,0.7,24,24,0,28.798401594161987,0,28.798401594161987,0
problem_office_13.pddl,0.7,24,24,0,19.749053955078125,0,19.749053955078125,0
problem_office_13.pddl,0.7,32,32,0,42.4658591747284,0,42.4658591747284,0
problem_office_13.pddl,0.7,23,23,0,28.960831880569447,0,28.960831880569447,0
problem_office_13.pddl,0.7,28,28,0,48.23966813087464,0,48.23966813087464,0
problem_office_13.pddl,0.7,50,50,0,66.02766227722168,0,66.02766227722168,0
problem_office_13.pddl,0.7,56,56,0,62.23127317428589,0,62.23127317428589,0
problem_office_13.pddl,0.7,38,38,0,36.98151206970215,0,36.98151206970215,0
problem_office_13.pddl,0.7,19,19,0,16.480162382125854,0,16.480162382125854,0
problem_office_13.pddl,0.7,24,24,0,20.128398180007935,0,20.128398180007935,0
problem_office_13.pddl,0.7,24,24,0,23.023867845535282,0,23.023867845535282,0
problem_office_13.pddl,0.7,32,32,0,31.54150986671448,0,31.54150986671448,0
problem_office_13.pddl,0.7,36,36,0,42.43873357772827,0,42.43873357772827,0
problem_office_13.pddl,0.7,35,35,0,32.735965013504035,0,32.735965013504035,0
problem_office_13.pddl,0.7,39,39,0,71.77536940574645,0,71.77536940574645,0
problem_office_13.pddl,0.7,39,39,0,41.754294395446784,0,41.754294395446784,0
problem_office_13.pddl,0.7,22,22,0,19.39995288848877,0,19.39995288848877,0
