name,action probability,planned,used planner,used plan lib,time planning,time checking plan lib,total time,plan lib size
problem_office_15.pddl,0.7,42,42,0,90.48753118515016,0,90.48753118515016,0
problem_office_15.pddl,0.7,36,36,0,108.65576815605164,0,108.65576815605164,0
problem_office_15.pddl,0.7,66,66,0,99.0090034008026,0,99.0090034008026,0
problem_office_15.pddl,0.7,45,45,0,83.31526565551758,0,83.31526565551758,0
problem_office_15.pddl,0.7,24,24,0,30.13838267326355,0,30.13838267326355,0
problem_office_15.pddl,0.7,31,31,0,71.08904457092284,0,71.08904457092284,0
problem_office_15.pddl,0.7,35,35,0,78.80559730529784,0,78.80559730529784,0
problem_office_15.pddl,0.7,26,26,0,36.74424409866333,0,36.74424409866333,0
problem_office_15.pddl,0.7,49,49,0,116.69550728797913,0,116.69550728797913,0
problem_office_15.pddl,0.7,30,30,0,58.30407953262329,0,58.30407953262329,0
problem_office_15.pddl,0.7,46,46,0,129.3581771850586,0,129.3581771850586,0
problem_office_15.pddl,0.7,53,53,0,157.23858308792109,0,157.23858308792109,0
problem_office_15.pddl,0.7,40,40,0,70.00377178192139,0,70.00377178192139,0
problem_office_15.pddl,0.7,30,30,0,81.56331062316896,0,81.56331062316896,0
problem_office_15.pddl,0.7,49,49,0,122.20523905754091,0,122.20523905754091,0
problem_office_15.pddl,0.7,37,37,0,91.70000624656677,0,91.70000624656677,0
